ID_alt	themeLabel_alt	themeLabel_neu	ID_neu
http://zora.uni-trier.de:11000/entity/Q2830	critique d'art	critique d'art	http://data.mimotext.uni-trier.de/entity/Q2849
http://zora.uni-trier.de:11000/entity/Q2831	critique sociale	critique sociale	http://data.mimotext.uni-trier.de/entity/Q2850
http://zora.uni-trier.de:11000/entity/Q2832	culpabilité	culpabilité	http://data.mimotext.uni-trier.de/entity/Q2851
http://zora.uni-trier.de:11000/entity/Q2833	culture populaire	culture populaire	http://data.mimotext.uni-trier.de/entity/Q2852
http://zora.uni-trier.de:11000/entity/Q2834	curiosité	curiosité	http://data.mimotext.uni-trier.de/entity/Q2853
http://zora.uni-trier.de:11000/entity/Q2835	danse	danse	http://data.mimotext.uni-trier.de/entity/Q2854
http://zora.uni-trier.de:11000/entity/Q2836	décadence	décadence	http://data.mimotext.uni-trier.de/entity/Q2855
http://zora.uni-trier.de:11000/entity/Q2837	déchristianisation	déchristianisation	http://data.mimotext.uni-trier.de/entity/Q2856
http://zora.uni-trier.de:11000/entity/Q2838	décoration	décoration	http://data.mimotext.uni-trier.de/entity/Q2857
http://zora.uni-trier.de:11000/entity/Q2839	déisme	déisme	http://data.mimotext.uni-trier.de/entity/Q2858
http://zora.uni-trier.de:11000/entity/Q2840	démocratie	démocratie	http://data.mimotext.uni-trier.de/entity/Q2859
http://zora.uni-trier.de:11000/entity/Q2841	démographie	démographie	http://data.mimotext.uni-trier.de/entity/Q2860
http://zora.uni-trier.de:11000/entity/Q2842	dérision	dérision	http://data.mimotext.uni-trier.de/entity/Q2861
http://zora.uni-trier.de:11000/entity/Q2843	dessin	dessin	http://data.mimotext.uni-trier.de/entity/Q2862
http://zora.uni-trier.de:11000/entity/Q2844	destin	destin	http://data.mimotext.uni-trier.de/entity/Q2863
http://zora.uni-trier.de:11000/entity/Q2845	deuil	deuil	http://data.mimotext.uni-trier.de/entity/Q2864
http://zora.uni-trier.de:11000/entity/Q2846	devoir	devoir	http://data.mimotext.uni-trier.de/entity/Q2865
http://zora.uni-trier.de:11000/entity/Q2847	diable	diable	http://data.mimotext.uni-trier.de/entity/Q2866
http://zora.uni-trier.de:11000/entity/Q2848	dialogue	dialogue	http://data.mimotext.uni-trier.de/entity/Q2867
http://zora.uni-trier.de:11000/entity/Q2849	dictionnaire	dictionnaire	http://data.mimotext.uni-trier.de/entity/Q2868
http://zora.uni-trier.de:11000/entity/Q2850	Dieu	Dieu	http://data.mimotext.uni-trier.de/entity/Q2869
